City ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
169,santa ana,33.7456,-117.8678,21.63,51,20,51,US,1707864854
170,bardai,11.65,7.2333,22.14,10,2,10,NG,1707864854
171,hobyo,5.3505,48.5268,26.22,80,67,80,SO,1707864854
172,kingston,17.997,-76.7936,28.53,80,75,80,JM,1707864627
173,manakara,-22.1333,48.0167,23.87,92,100,92,MG,1707864855
174,pajara,28.3504,-14.1076,20.73,52,98,52,ES,1707864855
175,alaghsas,17.0187,8.0168,21.94,20,3,20,NE,1707864855
176,levuka,50.1834,-105.4011,-6.1,79,75,79,CA,1707864855
177,east ballina,-28.8667,153.5833,27.11,64,9,64,AU,1707864855
178,moranbah,-22.0016,148.0466,27.62,66,57,66,AU,1707864855
179,la almunia de dona godina,41.4767,-1.3745,14.54,68,47,68,ES,1707864856
180,biloela,-24.4167,150.5,27.35,66,96,66,AU,1707864856
181,galveston,29.3669,-94.9669,18.41,60,0,60,US,1707864856
182,jolalpan,18.325,-98.8417,32.92,21,4,21,MX,1707864856
183,bangor trident base,47.7227,-122.7145,9.58,76,78,76,US,1707864856
184,mar del plata,-38.0023,-57.5575,18.01,62,20,62,AR,1707864690
185,ulysses,37.5814,-101.3552,14.53,30,0,30,US,1707864857
186,utrik,11.2278,169.8474,26.12,76,96,76,MH,1707864857
187,petropavlovsk-kamchatsky,53.0452,158.6483,-20.67,59,20,59,RU,1707864857
188,inongo,-1.95,18.2667,23.94,89,100,89,CD,1707864857
189,lihue,21.9789,-159.3672,26.58,74,20,74,US,1707864857
190,kasongo-lunda,-6.4667,16.8167,21.42,98,100,98,CD,1707864858
191,inhambane,-23.865,35.3833,23.18,87,0,87,MZ,1707864858
192,huarmey,-10.0681,-78.1522,26.28,77,60,77,PE,1707864858
193,altay,47.8667,88.1167,-16.49,59,34,59,CN,1707864858
194,labasa,-16.4167,179.3833,30.21,77,63,77,FJ,1707864858
195,nuuk,64.1835,-51.7216,-11.66,72,20,72,GL,1707864810
196,dakhla,23.6848,-15.958,19.76,72,24,72,EH,1707864859
197,hami,42.8,93.45,-3.44,40,0,40,CN,1707864859
198,nelson bay,-32.7167,152.15,30.56,64,0,64,AU,1707864859
199,ardestan,33.3761,52.3694,11.51,24,87,24,IR,1707864859
200,thompson,55.7435,-97.8558,-4.91,93,100,93,CA,1707864600
201,marsh harbour,26.5412,-77.0636,21.94,68,65,68,BS,1707864859
202,nova sintra,14.8667,-24.7167,20.23,78,0,78,CV,1707864860
203,bakanas,44.8081,76.2772,0.47,76,100,76,KZ,1707864860
204,kalmunai,7.4167,81.8167,25.68,85,83,85,LK,1707864860
205,khovd,48.0056,91.6419,-13.98,50,4,50,MN,1707864860
206,sao miguel do araguaia,-13.275,-50.1628,25.7,76,11,76,BR,1707864860
207,happy valley-goose bay,53.3168,-60.3315,-1.83,86,100,86,CA,1707864861
208,el alto,-4.2714,-81.2147,28.81,72,69,72,PE,1707864861
209,hadibu,12.65,54.0333,23.99,79,28,79,YE,1707864861
210,ponta delgada,37.7333,-25.6667,15.4,94,40,94,PT,1707864861
211,cabedelo,-6.9811,-34.8339,28.37,76,88,76,BR,1707864862
212,lisala,2.15,21.5167,26.22,51,74,51,CD,1707864862
213,masterton,-40.9597,175.6575,21.17,34,3,34,NZ,1707864862
214,borovskoy,53.8,64.15,-13.34,87,85,87,KZ,1707864862
215,novaya igirma,57.1334,103.9112,-18.79,97,100,97,RU,1707864862
216,okhotsk,59.3833,143.3,-29.38,98,77,98,RU,1707864862
217,whitburn,54.9533,-1.3686,7.31,92,100,92,GB,1707864863
218,sahagun,8.9462,-75.4427,31.54,66,72,66,CO,1707864863
219,midvagur,62.0511,-7.1939,4.46,75,75,75,FO,1707864863
220,strugi-krasnyye,58.2675,29.1114,-6.69,83,100,83,RU,1707864863
221,saint-philippe,-21.3585,55.7679,25.77,85,100,85,RE,1707864863
222,san ignacio de velasco,-16.3667,-60.95,22.28,98,92,98,BO,1707864863
223,valdivia,-39.8142,-73.2459,32.05,45,94,45,CL,1707864864
224,island harbour,50.724,-1.2758,12.31,94,100,94,GB,1707864864
225,labuan,5.2767,115.2417,26.2,73,20,73,MY,1707864864
226,bodaybo,57.8506,114.1933,-18.0,89,100,89,RU,1707864864
227,la foa,-21.7108,165.8276,28.85,68,2,68,NC,1707864864
228,mashhad,36.297,59.6062,7.08,57,0,57,IR,1707864864
229,deogarh,21.5333,84.7333,16.81,70,100,70,IN,1707864865
230,young,-32.6833,-57.6333,19.8,52,65,52,UY,1707864865
231,kattivakkam,13.2167,80.3167,26.05,79,41,79,IN,1707864865
232,wailua homesteads,22.0669,-159.378,26.24,75,20,75,US,1707864865
233,lichtenau,51.6167,8.9,6.43,80,0,80,DE,1707864866
234,tamanrasset,22.785,5.5228,16.95,20,0,20,DZ,1707864866
235,mugia,43.1041,-9.2179,15.51,93,57,93,ES,1707864866
236,magdagachi,53.45,125.8,-19.03,71,1,71,RU,1707864866
237,nakonde,-9.3421,32.745,15.83,98,80,98,ZM,1707864866
238,dryden,49.7833,-92.7503,-5.84,58,0,58,CA,1707864867
239,tazacorte,28.629,-17.9293,20.64,76,20,76,ES,1707864867
240,ngorongoro,-3.2397,35.4875,13.41,84,91,84,TZ,1707864867
241,chonchi,-42.6128,-73.8092,23.56,52,9,52,CL,1707864867
242,bomdila,27.25,92.4,3.97,88,90,88,IN,1707864867
243,nouadhibou,20.931,-17.0347,19.99,94,3,94,MR,1707864868
244,wajir,1.7471,40.0573,27.16,54,32,54,KE,1707864868
245,aasiaat,68.7098,-52.8699,-30.84,96,26,96,GL,1707864868
246,sao paulo de olivenca,-3.3783,-68.8725,24.43,99,87,99,BR,1707864868
247,goz beida,13.95,20.55,22.06,9,6,9,TD,1707864868
248,dubai,25.2582,55.3047,20.14,77,0,77,AE,1707864737
249,al qitena,14.8648,32.3668,25.13,13,38,13,SD,1707864868
250,altamira,-3.2033,-52.2064,22.41,99,100,99,BR,1707864869
251,kuytun,54.3419,101.5036,-20.86,99,100,99,RU,1707864869
252,alice springs,-23.7,133.8833,30.75,32,0,32,AU,1707864869
253,acatlan de osorio,18.2,-98.05,30.25,20,1,20,MX,1707864869
254,menongue,-14.6585,17.691,18.38,81,9,81,AO,1707864869
255,uturoa,-16.7333,-151.4333,26.75,90,98,90,PF,1707864870
256,vanino,49.0869,140.2543,-11.71,92,99,92,RU,1707864870
257,celica,-4.1167,-79.95,21.11,74,88,74,EC,1707864870
258,kristiansund,63.1115,7.732,2.36,55,40,55,NO,1707864870
259,muhammadabad,25.6333,83.75,18.49,67,100,67,IN,1707864870
260,gaspe,48.8334,-64.4819,-3.88,63,75,63,CA,1707864870
261,corzuela,-26.9537,-60.9693,21.27,85,94,85,AR,1707864871
262,creston,41.0586,-94.3614,10.74,40,75,40,US,1707864871
263,aktau,43.65,51.2,7.32,60,100,60,KZ,1707864871
264,dunedin,-45.8742,170.5036,24.48,63,0,63,NZ,1707864871
265,mount pearl,47.5166,-52.7813,-0.64,84,75,84,CA,1707864584
266,mermoz boabab,14.7065,-17.4758,23.31,94,0,94,SN,1707864872
267,bikenibeu village,1.3673,173.1241,29.98,74,75,74,KI,1707864872
268,kruisfontein,-34.0033,24.7314,17.71,96,22,96,ZA,1707864872
269,tralee,52.2704,-9.7026,10.12,97,98,97,IE,1707864872
270,roma,43.2128,-75.4557,2.08,58,75,58,US,1707864872
271,waddan,29.1614,16.139,13.31,69,1,69,LY,1707864872
272,ahmadpur,18.7,76.9333,22.91,35,79,35,IN,1707864873
273,slavyanka,42.8633,131.3847,1.54,82,100,82,RU,1707864873
274,beau vallon,-20.4189,57.6953,27.34,89,40,89,MU,1707864873
275,guacimo,10.2104,-83.6807,28.13,81,90,81,CR,1707864873
276,sona,45.4388,10.8255,7.96,87,0,87,IT,1707864873
277,cockburn town,21.4612,-71.1419,25.59,77,1,77,TC,1707864874
278,rahimah,26.7079,50.0619,16.12,77,0,77,SA,1707864874
279,kerikeri,-35.2268,173.9474,24.39,69,12,69,NZ,1707864874
280,izki,22.9333,57.7667,19.41,62,0,62,OM,1707864874
281,lecheng,25.1238,113.3254,14.34,95,9,95,CN,1707864874
282,sao joao da barra,-21.6403,-41.0511,27.05,84,74,84,BR,1707864874
283,melekeok village,7.4957,134.6367,28.31,69,75,69,PW,1707864875
284,kailua-kona,19.6406,-155.9956,26.98,74,0,74,US,1707864875
285,mili,6.0815,171.735,27.76,72,51,72,MH,1707864875
286,bamyan,34.75,67.25,-15.74,44,8,44,AF,1707864875
287,humberto de campos,-2.5983,-43.4611,25.14,90,100,90,BR,1707864875
288,weno,7.4515,151.8468,27.97,74,40,74,FM,1707864875
289,howard springs,-12.497,131.047,24.95,98,100,98,AU,1707864876
290,port alfred,-33.5906,26.891,19.54,91,69,91,ZA,1707864858
291,vilhena,-12.7406,-60.1458,27.12,78,40,78,BR,1707864876
292,tabas,33.5959,56.9244,11.12,28,6,28,IR,1707864876
293,tumayr,25.7039,45.868,14.97,46,0,46,SA,1707864876
294,gisborne,-38.6533,178.0042,22.66,58,0,58,NZ,1707864876
